type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,167,0.7738486842105263,1.532934131736527,3.7604790419161676
COLLABORATOR,56,0.49038461538461536,2.5,5.767857142857143
CONTRIBUTOR,34,5.758333333333334,3.3823529411764706,13.588235294117647
MEMBER,241,3.7819767441860463,3.078838174273859,9.398340248962656
NONE,2,5.0,4.5,19.5
