type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],134,0.6068548387096774,1.455223880597015,3.044776119402985,0.08955223880597014,0.7611940298507462
COLLABORATOR,reta,57,0.47877358490566035,2.43859649122807,5.824561403508772,0.631578947368421,1.5789473684210527
AUTOMATION,dependabot[bot],27,1.923913043478261,2.037037037037037,7.962962962962963,1.1481481481481481,3.185185185185185
MEMBER,ashking94,20,2.1973684210526314,2.8,9.4,1.9,2.75
MEMBER,cwperks,18,1.125,3.388888888888889,7.444444444444445,0.1111111111111111,1.6111111111111112
MEMBER,gaobinlong,13,4.538461538461538,3.6923076923076925,9.615384615384615,0.0,2.076923076923077
MEMBER,sgup432,13,3.25,2.923076923076923,7.461538461538462,0.15384615384615385,2.3846153846153846
MEMBER,peternied,12,2.522727272727273,3.0,5.166666666666667,0.08333333333333333,0.8333333333333334
CONTRIBUTOR,peteralfonsi,11,3.784090909090909,2.8181818181818183,13.454545454545455,1.2727272727272727,7.818181818181818
MEMBER,rishabhmaurya,10,4.71875,3.4,10.3,3.0,5.4
MEMBER,ltaragi,9,7.291666666666667,2.5555555555555554,8.11111111111111,3.6666666666666665,3.0
MEMBER,gbbafna,8,5.03125,2.125,5.75,1.375,2.0
MEMBER,shourya035,8,6.475,2.25,10.5,2.125,6.125
MEMBER,sachinpkale,8,6.28125,3.0,7.625,1.125,2.625
MEMBER,kiranprakash154,8,10.0,3.25,24.5,3.0,14.875
MEMBER,rajiv-kv,7,3.482142857142857,2.7142857142857144,5.285714285714286,0.42857142857142855,1.4285714285714286
MEMBER,kotwanikunal,7,1.425,3.0,6.142857142857143,0.7142857142857143,1.2857142857142858
MEMBER,andrross,6,2.2291666666666665,3.0,9.333333333333334,1.3333333333333333,2.5
MEMBER,sandeshkr419,5,5.84375,3.2,8.8,0.6,2.6
CONTRIBUTOR,kkewwei,5,2.4375,3.6,10.6,2.6,4.0
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,mgodwan,5,1.55,3.0,7.6,1.6,1.6
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,astute-decipher,4,13.5,3.0,12.25,1.5,5.75
MEMBER,mch2,4,1.90625,3.25,5.5,0.0,1.25
MEMBER,msfroh,4,11.5,1.75,4.25,0.25,0.5
MEMBER,VachaShah,4,5.5625,4.25,20.5,3.0,4.75
MEMBER,jed326,4,3.75,3.0,17.25,9.75,8.25
MEMBER,jainankitk,4,2.0,3.5,8.25,0.25,2.75
MEMBER,amkhar,3,0.1875,3.0,6.666666666666667,0.0,2.3333333333333335
MEMBER,ajaymovva,3,0.20833333333333334,1.6666666666666667,11.666666666666666,7.0,7.333333333333333
MEMBER,Gaganjuneja,3,0.7916666666666666,3.0,7.0,0.0,1.3333333333333333
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,deshsidd,3,1.5,2.3333333333333335,5.666666666666667,0.3333333333333333,2.3333333333333335
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
CONTRIBUTOR,atharvasharma61,3,7.125,3.0,9.333333333333334,0.6666666666666666,3.6666666666666665
MEMBER,shiv0408,3,0.16666666666666666,2.0,4.333333333333333,0.0,1.6666666666666667
MEMBER,skumawat2025,3,5.0,3.3333333333333335,24.333333333333332,10.333333333333334,11.666666666666666
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
MEMBER,saimedhi,2,0.875,4.0,4.5,0.0,0.0
MEMBER,linuxpi,2,0.4375,4.5,9.0,1.5,2.5
MEMBER,gaiksaya,2,1.0,3.5,6.5,0.0,1.0
CONTRIBUTOR,naomichi-y,2,6.0,3.0,14.0,0.5,5.5
CONTRIBUTOR,srikanthpadakanti,2,10.5,3.5,19.0,1.0,8.5
MEMBER,dbwiddis,2,0.8125,1.5,3.5,0.5,2.0
MEMBER,chishui,2,6.0,4.5,19.5,0.5,6.5
MEMBER,bowenlan-amzn,2,0.5,2.5,12.5,1.5,5.5
MEMBER,backslasht,2,0.5,2.0,6.0,0.0,2.0
MEMBER,Arpit-Bandejiya,2,9.5625,3.0,24.0,5.5,14.0
MEMBER,harishbhakuni,2,0.5,2.5,6.5,1.0,2.0
MEMBER,BhumikaSaini-Amazon,2,30.0,2.5,18.0,7.0,10.5
CONTRIBUTOR,aggarwalShivani,2,13.625,5.0,26.0,0.0,7.5
CONTRIBUTOR,frameflare,1,4.0,4.0,7.0,0.0,2.0
CONTRIBUTOR,gargharsh3134,1,,1.0,2.0,0.0,0.0
MEMBER,kaushalmahi12,1,,4.0,11.0,0.0,2.0
CONTRIBUTOR,Zhikai-VM,1,3.0,4.0,17.0,3.0,0.0
CONTRIBUTOR,lukas-vlcek,1,1.0,4.0,7.0,0.0,1.0
CONTRIBUTOR,Pranshu-S,1,2.0,4.0,4.0,0.0,0.0
MEMBER,vikasvb90,1,1.0,3.0,10.0,2.0,6.0
CONTRIBUTOR,Ferrari248,1,17.0,4.0,28.0,10.0,9.0
MEMBER,shwetathareja,1,0.25,7.0,14.0,0.0,0.0
MEMBER,rishabh6788,1,6.0,4.0,26.0,2.0,8.0
CONTRIBUTOR,niyatiagg,1,7.0,5.0,11.0,0.0,2.0
MEMBER,qreshi,1,13.0,2.0,11.0,5.0,4.0
MEMBER,peterzhuamazon,1,1.0,6.0,12.0,0.0,1.0
MEMBER,ankitkala,1,1.0,3.0,6.0,1.0,2.0
MEMBER,owaiskazi19,1,11.0,4.0,31.0,11.0,18.0
MEMBER,neetikasinghal,1,3.0,4.0,14.0,3.0,2.0
MEMBER,dzane17,1,0.125,1.0,2.0,0.0,0.0
MEMBER,gashutos,1,,5.0,11.0,0.0,0.0
NONE,llilyy,1,,6.0,22.0,2.0,4.0
