type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],140,1.1366279069767442,1.8714285714285714,3.657142857142857,0.1,0.7571428571428571
COLLABORATOR,reta,62,1.5508474576271187,2.596774193548387,7.17741935483871,0.9193548387096774,2.129032258064516
AUTOMATION,dependabot[bot],34,1.8518518518518519,2.5,8.147058823529411,1.0588235294117647,3.0
MEMBER,andrross,25,1.0271739130434783,2.64,5.44,0.48,1.28
MEMBER,gaobinlong,15,1.7142857142857142,3.2666666666666666,7.6,0.06666666666666667,1.7333333333333334
MEMBER,ajaymovva,11,1.5535714285714286,1.8181818181818181,8.545454545454545,4.2727272727272725,5.181818181818182
MEMBER,jed326,10,1.8,3.3,10.9,4.3,3.8
MEMBER,sgup432,10,1.425,2.8,7.0,0.2,2.1
MEMBER,peternied,8,1.140625,3.125,6.625,0.25,1.5
MEMBER,kotwanikunal,8,0.34375,2.125,4.125,0.5,1.0
MEMBER,cwperks,8,1.328125,3.0,7.25,0.25,1.375
MEMBER,sachinpkale,7,6.482142857142857,3.142857142857143,7.714285714285714,1.1428571428571428,2.5714285714285716
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,ashking94,6,2.3541666666666665,2.5,9.166666666666666,2.0,2.6666666666666665
MEMBER,sandeshkr419,5,5.84375,2.6,8.0,0.6,2.6
MEMBER,gbbafna,5,4.65,2.4,7.6,0.8,3.2
MEMBER,rishabhmaurya,5,6.0,3.4,8.6,2.8,4.0
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
CONTRIBUTOR,kkewwei,5,1.28125,4.0,13.8,3.2,5.2
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
MEMBER,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,CaptainDredge,4,0.90625,4.0,10.5,3.25,2.5
MEMBER,mgodwan,4,2.2083333333333335,3.25,11.0,3.0,3.5
MEMBER,ansjcy,4,0.4583333333333333,2.5,6.5,1.5,1.25
CONTRIBUTOR,peteralfonsi,4,3.5,2.75,19.75,0.75,14.5
MEMBER,scrawfor99,3,0.3125,3.0,5.666666666666667,0.3333333333333333,1.6666666666666667
MEMBER,bowenlan-amzn,3,0.7083333333333334,2.6666666666666665,4.666666666666667,0.0,0.6666666666666666
MEMBER,linuxpi,3,1.625,4.333333333333333,9.666666666666666,1.3333333333333333,3.0
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
MEMBER,Rishikesh1159,3,13.666666666666666,3.0,9.333333333333334,0.0,4.0
MEMBER,RS146BIJAY,3,1.4375,2.0,5.333333333333333,1.6666666666666667,2.0
MEMBER,Gaganjuneja,3,0.7916666666666666,3.0,7.0,0.0,1.3333333333333333
MEMBER,mch2,3,3.0,3.0,4.666666666666667,0.0,0.3333333333333333
MEMBER,shiv0408,3,0.25,1.6666666666666667,3.3333333333333335,0.0,1.0
MEMBER,Arpit-Bandejiya,3,9.5625,2.3333333333333335,17.333333333333332,3.6666666666666665,10.333333333333334
MEMBER,kiranprakash154,3,2.5,2.3333333333333335,21.666666666666668,6.666666666666667,17.0
MEMBER,Poojita-Raj,3,2.0,2.3333333333333335,4.0,0.3333333333333333,0.3333333333333333
MEMBER,harshavamsi,2,4.1875,2.5,6.0,1.0,2.0
MEMBER,jainankitk,2,6.5,3.0,11.5,0.0,3.5
MEMBER,msfroh,2,1.0,1.5,3.0,0.5,0.0
MEMBER,anshu1106,2,3.0,3.0,6.5,1.5,2.0
MEMBER,saimedhi,2,1.0,3.5,4.5,0.0,0.5
CONTRIBUTOR,atharvasharma61,2,0.375,4.0,5.0,0.0,0.0
MEMBER,ankitkala,2,3.0,3.0,10.5,1.5,4.0
MEMBER,qreshi,2,19.0,3.5,17.0,7.0,8.5
MEMBER,shourya035,2,12.0,2.5,13.0,1.5,7.5
CONTRIBUTOR,lukas-vlcek,2,6.5,3.5,6.5,1.0,1.5
MEMBER,sohami,2,1.0,3.5,12.0,1.5,5.5
CONTRIBUTOR,guillaume-alvarez,2,4.0,4.5,16.5,4.5,5.0
CONTRIBUTOR,austintlee,2,9.0,2.5,5.5,1.0,1.5
NONE,ericsmalling,1,,1.0,2.0,0.0,1.0
MEMBER,shwetathareja,1,0.25,7.0,14.0,0.0,0.0
MEMBER,vamsi-amazon,1,,1.0,2.0,0.0,1.0
MEMBER,rishabh6788,1,6.0,4.0,26.0,2.0,8.0
MEMBER,vikasvb90,1,1.0,3.0,10.0,2.0,6.0
NONE,Pranshu-S,1,,2.0,3.0,0.0,1.0
NONE,beanuwave,1,,1.0,2.0,0.0,1.0
MEMBER,deshsidd,1,2.0,2.0,7.0,1.0,2.0
MEMBER,neetikasinghal,1,3.0,4.0,14.0,3.0,2.0
MEMBER,ltaragi,1,14.0,2.0,11.0,5.0,8.0
CONTRIBUTOR,Dharin-shah,1,,1.0,2.0,0.0,1.0
CONTRIBUTOR,asonje,1,,5.0,10.0,0.0,2.0
CONTRIBUTOR,c3-amitsalunke,1,,1.0,2.0,0.0,1.0
CONTRIBUTOR,devagarwal1803,1,0.125,3.0,4.0,0.0,0.0
CONTRIBUTOR,gargharsh3134,1,,1.0,2.0,0.0,0.0
CONTRIBUTOR,hasnain2808,1,0.0,4.0,62.0,7.0,43.0
CONTRIBUTOR,hogesako,1,22.0,5.0,18.0,3.0,4.0
CONTRIBUTOR,mkhludnev,1,0.0,4.0,9.0,1.0,2.0
CONTRIBUTOR,mulugetam,1,,4.0,5.0,0.0,1.0
MEMBER,Bukhtawar,1,1.0,3.0,4.0,0.0,0.0
MEMBER,CEHENKLE,1,5.0,5.0,10.0,1.0,3.0
MEMBER,backslasht,1,0.0,2.0,9.0,0.0,4.0
MEMBER,bharath-techie,1,,1.0,2.0,0.0,0.0
MEMBER,dbwiddis,1,1.0,4.0,12.0,0.0,6.0
MEMBER,dzane17,1,0.125,1.0,2.0,0.0,0.0
MEMBER,kartg,1,1.0,5.0,9.0,1.0,1.0
MEMBER,khushbr,1,,2.0,5.0,0.0,3.0
NONE,yallen-ic,1,,5.0,12.0,1.0,0.0
