type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
MEMBER,CaptainDredge,1,0.625,3.0,6.0,1.0,1.0
MEMBER,CEHENKLE,1,5.0,5.0,10.0,1.0,3.0
MEMBER,Bukhtawar,1,1.0,3.0,4.0,0.0,0.0
MEMBER,khushbr,1,,2.0,5.0,0.0,3.0
MEMBER,dbwiddis,1,1.0,4.0,12.0,0.0,6.0
MEMBER,kiranprakash154,1,5.0,3.0,52.0,20.0,44.0
MEMBER,BhumikaSaini-Amazon,1,0.875,2.0,4.0,0.0,1.0
CONTRIBUTOR,peteralfonsi,1,9.0,2.0,23.0,3.0,18.0
MEMBER,ltaragi,1,14.0,2.0,11.0,5.0,8.0
CONTRIBUTOR,mulugetam,1,,4.0,5.0,0.0,1.0
CONTRIBUTOR,mkhludnev,1,0.0,4.0,9.0,1.0,2.0
MEMBER,deshsidd,1,2.0,2.0,7.0,1.0,2.0
