type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,165,0.7708333333333334,1.5393939393939393,3.7696969696969695
COLLABORATOR,56,0.49038461538461536,2.5,5.767857142857143
CONTRIBUTOR,34,5.758333333333334,3.3823529411764706,13.588235294117647
MEMBER,243,3.6985981308411215,3.049382716049383,9.246913580246913
NONE,2,5.0,4.5,19.5
