type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,175,0.55859375,1.5142857142857142,3.354285714285714
COLLABORATOR,47,0.5944444444444444,2.425531914893617,4.723404255319149
CONTRIBUTOR,42,6.6858108108108105,3.357142857142857,12.523809523809524
MEMBER,232,3.7895728643216082,3.043103448275862,8.685344827586206
NONE,4,5.0,3.75,13.25
