type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],135,1.0992063492063493,1.9333333333333333,3.651851851851852,0.1111111111111111,0.7185185185185186
COLLABORATOR,reta,66,1.4880952380952381,2.5606060606060606,7.181818181818182,0.9696969696969697,2.121212121212121
AUTOMATION,dependabot[bot],36,1.7025862068965518,2.4444444444444446,7.555555555555555,0.8611111111111112,2.75
MEMBER,andrross,26,0.9947916666666666,2.6153846153846154,5.384615384615385,0.46153846153846156,1.2692307692307692
MEMBER,gaobinlong,14,1.8461538461538463,3.2142857142857144,7.428571428571429,0.07142857142857142,1.6428571428571428
MEMBER,ajaymovva,12,1.5535714285714286,1.8333333333333333,8.25,4.083333333333333,4.833333333333333
MEMBER,jed326,11,2.0,3.5454545454545454,12.272727272727273,4.818181818181818,4.181818181818182
MEMBER,sgup432,10,1.425,2.8,7.0,0.2,2.1
MEMBER,kotwanikunal,9,0.6388888888888888,2.2222222222222223,4.333333333333333,0.6666666666666666,1.0
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,peternied,7,1.2857142857142858,3.142857142857143,7.0,0.14285714285714285,1.7142857142857142
MEMBER,cwperks,6,1.6041666666666667,3.0,7.333333333333333,0.16666666666666666,1.6666666666666667
MEMBER,ashking94,6,2.3541666666666665,2.5,9.166666666666666,2.0,2.6666666666666665
MEMBER,sachinpkale,6,7.5625,3.0,6.333333333333333,0.6666666666666666,1.8333333333333333
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
CONTRIBUTOR,kkewwei,5,1.28125,4.0,13.8,3.2,5.2
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,gbbafna,4,5.78125,2.5,8.5,0.75,3.75
MEMBER,dzane17,4,14.375,3.0,21.0,12.25,11.25
MEMBER,dblock,4,1.4166666666666667,4.25,13.25,0.75,3.5
MEMBER,bowenlan-amzn,4,2.78125,3.0,9.25,0.5,3.25
MEMBER,ansjcy,4,0.4583333333333333,2.5,6.5,1.5,1.25
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
