type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,173,1.198051948051948,1.976878612716763,4.485549132947977
COLLABORATOR,62,1.5444915254237288,2.596774193548387,7.209677419354839
CONTRIBUTOR,26,3.789473684210526,3.3846153846153846,12.653846153846153
MEMBER,236,2.9817216981132075,2.9491525423728815,8.775423728813559
NONE,3,,1.3333333333333333,2.3333333333333335
