type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,167,0.5539383561643836,1.5748502994011977,3.3233532934131738
COLLABORATOR,46,1.7926136363636365,2.391304347826087,6.1521739130434785
CONTRIBUTOR,43,3.5135135135135136,3.2093023255813953,9.86046511627907
MEMBER,240,4.184178743961352,2.8625,8.779166666666667
NONE,4,5.0,3.75,13.25
