type_of_contribution,created_at,number,business_days_to_merge,number_of_commenters,gradle_check_failures
AUTOMATION,2024-04-21,3,1.125,3,3
AUTOMATION,2024-04-28,29,14.0,47,25
AUTOMATION,2024-05-05,28,13.0,41,34
AUTOMATION,2024-05-12,13,3.75,21,26
AUTOMATION,2024-05-19,18,12.0,28,21
AUTOMATION,2024-05-26,16,8.375,36,39
AUTOMATION,2024-06-02,15,6.125,21,19
AUTOMATION,2024-06-09,31,19.5,49,29
AUTOMATION,2024-06-16,20,6.625,26,14
COLLABORATOR,2024-04-21,2,1.375,6,2
COLLABORATOR,2024-04-28,3,1.125,4,1
COLLABORATOR,2024-05-05,9,3.625,24,10
COLLABORATOR,2024-05-12,3,35.375,7,10
COLLABORATOR,2024-05-19,3,0.75,8,2
COLLABORATOR,2024-05-26,6,23.5,15,36
COLLABORATOR,2024-06-02,3,7.625,7,4
COLLABORATOR,2024-06-09,8,8.25,23,11
COLLABORATOR,2024-06-16,8,1.75,12,3
CONTRIBUTOR,2024-04-28,4,6.0,14,0
CONTRIBUTOR,2024-05-05,8,9.625,23,22
CONTRIBUTOR,2024-05-12,1,7.0,5,12
CONTRIBUTOR,2024-05-19,1,22.0,5,17
CONTRIBUTOR,2024-05-26,5,38.0,20,34
CONTRIBUTOR,2024-06-02,4,13.0,12,28
CONTRIBUTOR,2024-06-09,9,16.625,29,29
CONTRIBUTOR,2024-06-16,6,4.25,15,17
MEMBER,2024-04-21,12,99.75,41,85
MEMBER,2024-04-28,34,130.625,98,76
MEMBER,2024-05-05,20,126.375,62,76
MEMBER,2024-05-12,21,125.0,65,96
MEMBER,2024-05-19,23,157.0,76,140
MEMBER,2024-05-26,25,71.5,76,99
MEMBER,2024-06-02,25,72.25,67,129
MEMBER,2024-06-09,46,58.125,123,188
MEMBER,2024-06-16,34,10.375,61,35
NONE,2024-04-21,1,0.0,6,4
NONE,2024-04-28,0,0.0,0,0
NONE,2024-05-05,2,5.0,8,4
NONE,2024-05-12,1,0.0,1,1
