type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],147,1.2644927536231885,2.020408163265306,3.761904761904762,0.12244897959183673,0.7278911564625851
COLLABORATOR,reta,68,0.9090909090909091,2.5,6.544117647058823,0.8823529411764706,1.8235294117647058
AUTOMATION,dependabot[bot],37,1.65,2.5945945945945947,7.864864864864865,0.918918918918919,2.918918918918919
MEMBER,andrross,24,0.8522727272727273,2.5416666666666665,5.0,0.4166666666666667,1.1666666666666667
MEMBER,gaobinlong,15,2.716666666666667,3.1333333333333333,6.666666666666667,0.06666666666666667,1.0
MEMBER,sgup432,13,3.6875,2.769230769230769,7.076923076923077,0.15384615384615385,2.3076923076923075
MEMBER,ajaymovva,13,1.5535714285714286,1.8461538461538463,10.384615384615385,5.923076923076923,6.769230769230769
MEMBER,kotwanikunal,10,0.975,2.3,4.5,0.8,1.0
MEMBER,jed326,8,1.0,4.0,9.625,1.75,1.625
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,gbbafna,6,9.65,2.6666666666666665,8.166666666666666,1.5,3.5
MEMBER,peternied,5,7.0,4.0,17.0,0.4,7.4
MEMBER,linuxpi,5,4.05,4.0,9.8,0.8,3.2
MEMBER,sachinpkale,5,7.475,2.8,6.6,0.6,2.4
MEMBER,bowenlan-amzn,5,2.78125,2.8,8.0,0.4,2.6
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
MEMBER,dzane17,5,11.78125,3.6,19.4,11.0,9.6
MEMBER,ansjcy,5,5.34375,2.6,11.0,5.4,4.0
MEMBER,Gaganjuneja,4,2.34375,3.25,10.25,0.5,3.75
MEMBER,ashking94,4,5.5,3.0,10.5,1.75,2.25
CONTRIBUTOR,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
MEMBER,Poojita-Raj,4,2.0,3.0,6.0,0.5,1.25
CONTRIBUTOR,peteralfonsi,4,3.5,2.75,19.75,0.75,14.5
MEMBER,mgodwan,4,2.2083333333333335,3.25,11.0,3.0,3.5
MEMBER,CaptainDredge,3,0.9166666666666666,3.3333333333333335,10.0,3.6666666666666665,3.0
MEMBER,dblock,3,0.7083333333333334,3.0,8.0,0.6666666666666666,1.6666666666666667
MEMBER,sandeshkr419,3,0.5625,2.3333333333333335,4.333333333333333,0.0,0.6666666666666666
MEMBER,shiv0408,3,0.25,1.6666666666666667,3.3333333333333335,0.0,1.0
MEMBER,kiranprakash154,3,2.5,2.3333333333333335,21.666666666666668,6.666666666666667,17.0
CONTRIBUTOR,kkewwei,3,0.041666666666666664,3.6666666666666665,13.333333333333334,3.6666666666666665,4.333333333333333
MEMBER,mch2,3,10.0,2.3333333333333335,9.333333333333334,0.6666666666666666,2.3333333333333335
MEMBER,Rishikesh1159,3,13.666666666666666,3.0,9.333333333333334,0.0,4.0
MEMBER,RS146BIJAY,3,1.4375,2.0,5.333333333333333,1.6666666666666667,2.0
CONTRIBUTOR,atharvasharma61,3,4.916666666666667,4.333333333333333,12.666666666666666,0.3333333333333333,4.333333333333333
MEMBER,neetikasinghal,2,0.625,3.0,5.5,1.0,1.5
MEMBER,rishabhmaurya,2,,4.0,5.0,0.0,1.0
MEMBER,saimedhi,2,1.0,3.5,4.5,0.0,0.5
