type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,167,1.0748299319727892,1.9401197604790419,4.473053892215569
COLLABORATOR,63,1.53125,2.5714285714285716,7.111111111111111
CONTRIBUTOR,28,5.755681818181818,3.5,15.214285714285714
MEMBER,239,3.6296082949308754,2.98326359832636,9.276150627615063
NONE,3,,1.3333333333333333,2.3333333333333335
