type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,159,0.7970890410958904,1.5157232704402517,3.7547169811320753
COLLABORATOR,58,0.5,2.5344827586206895,5.9655172413793105
CONTRIBUTOR,34,5.758333333333334,3.3529411764705883,13.558823529411764
MEMBER,247,3.7115384615384617,3.0445344129554655,9.417004048582996
NONE,2,5.0,4.5,19.5
