type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,178,0.6200657894736842,1.5561797752808988,3.151685393258427
COLLABORATOR,52,1.7325,2.2884615384615383,5.9423076923076925
CONTRIBUTOR,40,3.9857142857142858,3.175,10.45
MEMBER,226,3.5822538860103625,2.765486725663717,8.29203539823009
NONE,4,5.0,3.0,8.5
