type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],146,0.6365384615384615,1.4931506849315068,2.4383561643835616,0.08904109589041095,0.726027397260274
COLLABORATOR,reta,52,1.7325,2.2884615384615383,5.9423076923076925,2.2884615384615383,1.7692307692307692
AUTOMATION,dependabot[bot],32,0.5227272727272727,1.84375,6.40625,0.84375,3.21875
MEMBER,andrross,18,0.7720588235294118,2.111111111111111,3.2222222222222223,0.7222222222222222,0.4444444444444444
MEMBER,shiv0408,17,2.9711538461538463,2.9411764705882355,12.058823529411764,3.588235294117647,7.529411764705882
MEMBER,soosinha,15,4.451923076923077,2.1333333333333333,8.066666666666666,3.933333333333333,5.2
MEMBER,gbbafna,14,1.6145833333333333,2.2142857142857144,5.714285714285714,1.0,3.2857142857142856
MEMBER,rishabhmaurya,13,8.556818181818182,2.0,7.384615384615385,2.5384615384615383,4.230769230769231
CONTRIBUTOR,peteralfonsi,12,3.784090909090909,2.75,8.75,0.75,4.166666666666667
MEMBER,prudhvigodithi,9,0.5555555555555556,3.0,7.555555555555555,1.4444444444444444,0.5555555555555556
MEMBER,sgup432,8,3.4375,3.25,6.375,0.25,2.125
MEMBER,cwperks,8,1.25,3.25,6.625,0.0,2.25
MEMBER,ansjcy,8,4.035714285714286,2.375,6.375,3.0,3.25
MEMBER,ashking94,7,0.041666666666666664,2.4285714285714284,2.857142857142857,0.0,0.14285714285714285
CONTRIBUTOR,akolarkunnu,7,0.925,3.7142857142857144,10.857142857142858,2.4285714285714284,3.2857142857142856
MEMBER,msfroh,6,8.975,3.5,14.666666666666666,3.5,7.833333333333333
MEMBER,gaobinlong,5,9.15,4.4,18.8,0.8,6.6
MEMBER,skumawat2025,5,3.225,2.6,17.2,10.8,9.8
MEMBER,shourya035,5,0.75,2.4,8.2,0.8,4.6
MEMBER,bowenlan-amzn,5,4.225,2.6,11.2,2.2,7.4
MEMBER,Arpit-Bandejiya,5,2.0,1.6,5.4,1.6,4.2
MEMBER,kiranprakash154,5,2.5,3.6,15.6,0.4,6.2
MEMBER,heemin32,4,2.84375,3.25,5.75,1.75,2.25
MEMBER,gaiksaya,4,14.0,3.5,10.5,0.75,2.0
MEMBER,astute-decipher,4,1.7083333333333333,2.25,7.0,0.25,4.5
MEMBER,himshikha,4,10.84375,2.75,17.25,3.75,13.5
MEMBER,navneet1v,4,9.0,4.75,21.5,5.75,7.0
MEMBER,linuxpi,4,3.78125,3.5,11.25,2.0,5.75
MEMBER,chishui,4,3.75,3.75,9.5,0.0,3.5
CONTRIBUTOR,SwethaGuptha,3,9.666666666666666,3.0,14.333333333333334,3.6666666666666665,9.666666666666666
MEMBER,vikasvb90,3,1.0,3.0,7.666666666666667,2.3333333333333335,3.3333333333333335
MEMBER,rajiv-kv,3,2.4583333333333335,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.3333333333333333
CONTRIBUTOR,gargharsh3134,3,2.3333333333333335,1.6666666666666667,4.333333333333333,1.0,1.6666666666666667
MEMBER,BhumikaSaini-Amazon,3,1.0,2.0,3.0,0.6666666666666666,1.3333333333333333
MEMBER,Gaganjuneja,3,3.0416666666666665,3.3333333333333335,11.0,1.3333333333333333,5.333333333333333
MEMBER,jed326,3,0.5625,3.3333333333333335,4.666666666666667,0.6666666666666666,1.3333333333333333
CONTRIBUTOR,rahulkarajgikar,2,1.5,3.5,8.5,0.5,3.5
MEMBER,peterzhuamazon,2,1.0,4.0,7.5,0.0,1.0
MEMBER,neetikasinghal,2,5.5,3.5,7.5,1.5,2.5
CONTRIBUTOR,mend-for-github-com[bot],2,5.0,2.5,6.5,0.0,3.5
CONTRIBUTOR,parv0201,2,1.0,3.0,7.0,0.0,2.0
CONTRIBUTOR,oliverlockwood,2,11.5,4.0,24.5,4.0,10.0
MEMBER,Divyaasm,2,0.125,0.0,0.0,0.0,0.0
MEMBER,r1walz,2,2.5625,3.5,7.0,2.0,0.5
CONTRIBUTOR,shailendra0811,2,5.625,3.0,15.5,11.5,10.5
MEMBER,VachaShah,2,0.625,3.0,4.0,0.0,1.0
MEMBER,LantaoJin,2,0.8125,3.5,9.0,1.0,3.0
MEMBER,ltaragi,2,20.5,2.0,3.0,1.0,0.5
CONTRIBUTOR,bugmakerrrrrr,1,1.0,4.0,7.0,0.0,3.0
CONTRIBUTOR,kkewwei,1,0.0,4.0,5.0,1.0,1.0
CONTRIBUTOR,finnegancarroll,1,7.0,5.0,25.0,3.0,12.0
MEMBER,harishbhakuni,1,,1.0,1.0,0.0,1.0
MEMBER,deshsidd,1,,2.0,4.0,1.0,3.0
MEMBER,dbwiddis,1,,3.0,4.0,0.0,1.0
MEMBER,bharath-techie,1,,2.0,12.0,8.0,10.0
CONTRIBUTOR,samuel-oci,1,3.0,4.0,9.0,1.0,2.0
CONTRIBUTOR,lukas-vlcek,1,3.0,5.0,11.0,2.0,4.0
MEMBER,imRishN,1,1.0,4.0,7.0,0.0,2.0
MEMBER,harshavamsi,1,0.125,3.0,3.0,0.0,0.0
MEMBER,rishabh6788,1,0.5,4.0,9.0,0.0,2.0
MEMBER,martin-gaievski,1,1.0,4.0,18.0,7.0,6.0
MEMBER,jainankitk,1,,5.0,12.0,0.0,3.0
MEMBER,peternied,1,0.0,0.0,0.0,0.0,0.0
MEMBER,kkhatua,1,1.0,5.0,7.0,0.0,0.0
MEMBER,scrawfor99,1,2.0,3.0,3.0,0.0,0.0
MEMBER,sarthakaggarwal97,1,0.5,2.0,2.0,0.0,0.0
MEMBER,sandeshkr419,1,11.0,7.0,17.0,1.0,1.0
MEMBER,sohami,1,1.0,5.0,7.0,0.0,0.0
MEMBER,varun-lodaya,1,0.875,2.0,2.0,0.0,0.0
NONE,fddattal,1,,3.0,3.0,0.0,1.0
NONE,jzonthemtn,1,,5.0,13.0,3.0,4.0
