type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,174,0.5576923076923077,1.5402298850574712,3.3275862068965516
COLLABORATOR,48,0.6059782608695652,2.4375,4.770833333333333
CONTRIBUTOR,42,6.388513513513513,3.238095238095238,11.833333333333334
MEMBER,232,4.055,2.9913793103448274,8.806034482758621
NONE,4,5.0,3.75,13.25
