type_of_contribution,created_at,number,business_days_to_merge,number_of_commenters,gradle_check_failures
AUTOMATION,2024-04-14,1,0.0,2,0
AUTOMATION,2024-04-21,16,6.375,18,9
AUTOMATION,2024-04-28,29,14.0,47,25
AUTOMATION,2024-05-05,28,13.0,41,34
AUTOMATION,2024-05-12,13,3.75,21,26
AUTOMATION,2024-05-19,18,12.0,28,21
AUTOMATION,2024-05-26,15,8.375,33,37
AUTOMATION,2024-06-02,15,6.125,21,19
AUTOMATION,2024-06-09,31,19.5,49,29
AUTOMATION,2024-06-16,5,1.25,5,5
COLLABORATOR,2024-04-21,12,3.0,29,7
COLLABORATOR,2024-04-28,3,1.125,4,1
COLLABORATOR,2024-05-05,9,3.625,24,10
COLLABORATOR,2024-05-12,2,0.375,4,0
COLLABORATOR,2024-05-19,3,0.75,8,2
COLLABORATOR,2024-05-26,6,23.5,15,36
COLLABORATOR,2024-06-02,3,7.625,7,4
COLLABORATOR,2024-06-09,7,3.25,19,9
COLLABORATOR,2024-06-16,2,0.125,1,1
CONTRIBUTOR,2024-04-21,9,57.5,26,62
CONTRIBUTOR,2024-04-28,4,6.0,14,0
CONTRIBUTOR,2024-05-05,8,9.625,23,22
CONTRIBUTOR,2024-05-12,1,7.0,5,12
CONTRIBUTOR,2024-05-19,1,22.0,5,17
CONTRIBUTOR,2024-05-26,5,38.0,20,34
CONTRIBUTOR,2024-06-02,3,2.0,9,7
CONTRIBUTOR,2024-06-09,8,11.625,25,23
CONTRIBUTOR,2024-06-16,3,1.0,6,8
MEMBER,2024-04-21,42,136.375,130,194
MEMBER,2024-04-28,34,130.625,98,76
MEMBER,2024-05-05,18,45.375,54,55
MEMBER,2024-05-12,21,125.0,65,96
MEMBER,2024-05-19,23,157.0,76,140
MEMBER,2024-05-26,23,53.5,70,69
MEMBER,2024-06-02,24,72.25,65,104
MEMBER,2024-06-09,42,40.125,103,133
MEMBER,2024-06-16,9,2.0,16,5
NONE,2024-04-21,1,0.0,6,4
NONE,2024-04-28,0,0.0,0,0
NONE,2024-05-05,2,5.0,8,4
NONE,2024-05-12,1,0.0,1,1
