type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,182,1.1656626506024097,2.076923076923077,4.478021978021978
COLLABORATOR,69,1.4053030303030303,2.5652173913043477,7.043478260869565
CONTRIBUTOR,29,4.0227272727272725,3.4482758620689653,10.448275862068966
MEMBER,215,3.014397905759162,2.8790697674418606,8.227906976744187
NONE,5,1.0,2.4,5.0
