type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,159,1.044894366197183,1.8176100628930818,4.364779874213837
COLLABORATOR,68,1.3865384615384615,2.4558823529411766,6.264705882352941
CONTRIBUTOR,27,7.2625,3.4444444444444446,14.962962962962964
MEMBER,243,3.6672374429223744,2.9670781893004117,9.148148148148149
NONE,3,,1.3333333333333333,2.3333333333333335
