type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,177,0.72890625,1.576271186440678,3.694915254237288
COLLABORATOR,53,0.5196078431372549,2.547169811320755,5.113207547169812
CONTRIBUTOR,30,5.169642857142857,3.3666666666666667,12.4
MEMBER,236,3.6416256157635467,3.093220338983051,9.23728813559322
NONE,4,5.0,3.75,13.25
