type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,185,1.5904411764705881,2.1675675675675676,4.351351351351352
COLLABORATOR,65,0.6567460317460317,2.5846153846153848,7.015384615384615
CONTRIBUTOR,30,3.8532608695652173,3.3,9.5
MEMBER,215,4.2896825396825395,2.8790697674418606,8.534883720930232
NONE,5,1.0,2.4,5.0
