type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],136,0.5575396825396826,1.4264705882352942,2.860294117647059,0.07352941176470588,0.7205882352941176
COLLABORATOR,reta,56,0.49038461538461536,2.5,5.767857142857143,0.5892857142857143,1.5178571428571428
AUTOMATION,dependabot[bot],30,1.82,2.033333333333333,7.8,1.0666666666666667,3.1666666666666665
MEMBER,ashking94,19,1.9305555555555556,2.789473684210526,8.894736842105264,1.8421052631578947,2.5789473684210527
MEMBER,cwperks,18,1.125,3.4444444444444446,7.5,0.1111111111111111,1.6111111111111112
MEMBER,peternied,13,2.3125,2.769230769230769,4.769230769230769,0.07692307692307693,0.7692307692307693
MEMBER,gaobinlong,13,4.903846153846154,3.6153846153846154,8.923076923076923,0.0,1.8461538461538463
CONTRIBUTOR,peteralfonsi,13,4.586538461538462,2.8461538461538463,13.615384615384615,1.3076923076923077,7.769230769230769
MEMBER,sgup432,12,3.2291666666666665,3.0,7.833333333333333,0.25,3.0833333333333335
MEMBER,rishabhmaurya,10,4.71875,3.4,10.3,3.0,5.4
MEMBER,ltaragi,10,7.5625,2.6,8.1,3.9,3.0
MEMBER,gbbafna,9,4.583333333333333,2.3333333333333335,6.444444444444445,1.5555555555555556,2.6666666666666665
MEMBER,shourya035,8,6.475,2.25,10.5,2.125,6.125
MEMBER,andrross,8,1.828125,3.0,7.625,0.875,2.125
MEMBER,kiranprakash154,7,11.0,3.2857142857142856,20.571428571428573,0.5714285714285714,10.714285714285714
MEMBER,rajiv-kv,7,3.482142857142857,2.857142857142857,5.428571428571429,0.42857142857142855,1.4285714285714286
MEMBER,kotwanikunal,6,1.75,3.1666666666666665,6.666666666666667,0.8333333333333334,1.5
MEMBER,sachinpkale,6,2.8333333333333335,3.1666666666666665,7.5,1.0,2.5
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,bowenlan-amzn,5,0.425,3.0,15.4,2.2,7.6
MEMBER,VachaShah,5,4.5,4.0,17.2,2.4,4.0
MEMBER,mgodwan,4,0.6875,2.25,4.0,1.25,1.0
MEMBER,jed326,4,3.75,3.0,17.25,9.75,8.25
CONTRIBUTOR,kkewwei,4,3.2083333333333335,4.0,12.25,3.0,4.75
MEMBER,linuxpi,4,1.75,3.75,9.25,1.75,3.0
MEMBER,Arpit-Bandejiya,4,0.125,1.25,1.75,0.25,0.75
MEMBER,shiv0408,4,1.625,2.0,5.0,0.75,2.5
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,msfroh,3,15.0,1.6666666666666667,4.333333333333333,0.0,0.6666666666666666
MEMBER,mch2,3,1.5416666666666667,4.0,6.666666666666667,0.0,1.6666666666666667
MEMBER,jainankitk,3,3.0,4.0,9.333333333333334,0.3333333333333333,3.3333333333333335
CONTRIBUTOR,atharvasharma61,3,7.125,3.0,9.333333333333334,0.6666666666666666,3.6666666666666665
MEMBER,astute-decipher,3,11.333333333333334,3.0,11.0,1.3333333333333333,4.666666666666667
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
MEMBER,skumawat2025,3,5.0,3.3333333333333335,24.333333333333332,10.333333333333334,11.666666666666666
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
CONTRIBUTOR,aggarwalShivani,2,13.625,5.0,26.0,0.0,7.5
CONTRIBUTOR,naomichi-y,2,6.0,3.0,14.0,0.5,5.5
MEMBER,ajaymovva,2,0.1875,2.0,16.0,10.0,10.5
CONTRIBUTOR,rahulkarajgikar,2,1.5,3.5,8.5,0.5,3.5
