type_of_contribution,created_at,number,business_days_to_merge,number_of_commenters,gradle_check_failures
AUTOMATION,2024-05-05,15,8.5,20,10
AUTOMATION,2024-05-12,13,3.75,21,26
AUTOMATION,2024-05-19,19,12.0,31,21
AUTOMATION,2024-05-26,16,8.375,36,39
AUTOMATION,2024-06-02,15,6.125,21,19
AUTOMATION,2024-06-09,32,19.5,51,32
AUTOMATION,2024-06-16,41,27.875,53,26
AUTOMATION,2024-06-23,26,13.375,29,26
COLLABORATOR,2024-05-05,7,2.625,20,8
COLLABORATOR,2024-05-12,3,35.375,7,10
COLLABORATOR,2024-05-19,3,0.75,8,2
COLLABORATOR,2024-05-26,6,23.5,15,36
COLLABORATOR,2024-06-02,3,7.625,7,4
COLLABORATOR,2024-06-09,8,8.25,23,11
COLLABORATOR,2024-06-16,14,5.625,25,18
COLLABORATOR,2024-06-23,6,2.0,12,4
CONTRIBUTOR,2024-05-05,3,6.0,11,9
CONTRIBUTOR,2024-05-12,1,7.0,5,12
CONTRIBUTOR,2024-05-19,0,0.0,0,0
CONTRIBUTOR,2024-05-26,4,48.0,18,41
CONTRIBUTOR,2024-06-02,3,13.0,10,26
CONTRIBUTOR,2024-06-09,8,15.625,27,28
CONTRIBUTOR,2024-06-16,11,21.25,31,34
CONTRIBUTOR,2024-06-23,3,3.625,8,9
MEMBER,2024-05-05,18,83.625,51,49
MEMBER,2024-05-12,22,168.0,69,115
MEMBER,2024-05-19,25,207.0,87,170
MEMBER,2024-05-26,27,85.5,82,112
MEMBER,2024-06-02,28,93.25,75,182
MEMBER,2024-06-09,49,66.125,131,202
MEMBER,2024-06-16,54,33.875,118,96
MEMBER,2024-06-23,13,11.75,24,22
NONE,2024-05-05,2,5.0,8,4
NONE,2024-05-12,1,0.0,1,1
NONE,2024-05-19,1,0.0,3,1
