type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],143,1.0634328358208955,1.951048951048951,3.664335664335664,0.11188811188811189,0.7132867132867133
COLLABORATOR,reta,69,1.393939393939394,2.536231884057971,6.942028985507246,0.927536231884058,2.0579710144927534
AUTOMATION,dependabot[bot],35,1.7589285714285714,2.4857142857142858,7.6571428571428575,0.8857142857142857,2.8
MEMBER,andrross,26,0.9947916666666666,2.6153846153846154,5.384615384615385,0.46153846153846156,1.2692307692307692
MEMBER,gaobinlong,13,1.8461538461538463,3.3076923076923075,7.615384615384615,0.07692307692307693,1.5384615384615385
MEMBER,ajaymovva,12,1.5535714285714286,1.8333333333333333,8.25,4.083333333333333,4.833333333333333
MEMBER,sgup432,10,1.425,2.8,7.0,0.2,2.1
MEMBER,jed326,9,2.2222222222222223,3.7777777777777777,13.777777777777779,5.444444444444445,4.888888888888889
MEMBER,kotwanikunal,9,0.6388888888888888,2.2222222222222223,4.333333333333333,0.6666666666666666,1.0
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,gbbafna,6,5.05,2.5,7.166666666666667,0.6666666666666666,2.6666666666666665
MEMBER,peternied,6,0.6666666666666666,2.8333333333333335,6.833333333333333,0.16666666666666666,2.0
MEMBER,cwperks,6,1.6041666666666667,3.0,7.333333333333333,0.16666666666666666,1.6666666666666667
MEMBER,dzane17,5,11.78125,3.6,19.4,11.0,9.6
MEMBER,ashking94,5,2.825,2.6,10.2,2.2,3.2
CONTRIBUTOR,kkewwei,5,1.28125,4.0,13.8,3.2,5.2
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
MEMBER,CaptainDredge,4,0.90625,4.0,10.5,3.25,2.5
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
