type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,171,0.7451923076923077,1.5614035087719298,3.6842105263157894
COLLABORATOR,51,0.49744897959183676,2.627450980392157,5.1568627450980395
CONTRIBUTOR,30,5.3125,3.3333333333333335,12.233333333333333
MEMBER,244,3.67688679245283,3.139344262295082,9.426229508196721
NONE,4,5.0,3.75,13.25
