type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],136,0.5515873015873016,1.4264705882352942,2.8455882352941178,0.07352941176470588,0.7132352941176471
COLLABORATOR,reta,56,0.49038461538461536,2.5,5.767857142857143,0.5892857142857143,1.5178571428571428
AUTOMATION,dependabot[bot],34,1.7222222222222223,1.9411764705882353,7.294117647058823,0.9705882352941176,3.0588235294117645
MEMBER,ashking94,19,1.9305555555555556,2.789473684210526,8.894736842105264,1.8421052631578947,2.5789473684210527
MEMBER,cwperks,18,1.125,3.4444444444444446,7.5,0.1111111111111111,1.6111111111111112
MEMBER,gaobinlong,13,4.903846153846154,3.6153846153846154,8.923076923076923,0.0,1.8461538461538463
MEMBER,peternied,13,2.3125,2.769230769230769,4.769230769230769,0.07692307692307693,0.7692307692307693
CONTRIBUTOR,peteralfonsi,12,4.71875,2.75,13.5,1.4166666666666667,7.833333333333333
MEMBER,sgup432,11,3.522727272727273,3.0,7.636363636363637,0.18181818181818182,2.909090909090909
MEMBER,rishabhmaurya,10,4.71875,3.4,10.3,3.0,5.4
MEMBER,ltaragi,10,7.5625,2.6,8.1,3.9,3.0
MEMBER,gbbafna,9,4.583333333333333,2.3333333333333335,6.444444444444445,1.5555555555555556,2.6666666666666665
MEMBER,shourya035,8,6.475,2.25,10.5,2.125,6.125
MEMBER,andrross,8,1.828125,3.0,7.625,0.875,2.125
MEMBER,kiranprakash154,7,11.0,3.2857142857142856,20.571428571428573,0.5714285714285714,10.714285714285714
MEMBER,rajiv-kv,7,3.482142857142857,2.857142857142857,5.428571428571429,0.42857142857142855,1.4285714285714286
MEMBER,kotwanikunal,6,1.75,3.1666666666666665,6.666666666666667,0.8333333333333334,1.5
MEMBER,VachaShah,6,7.916666666666667,4.166666666666667,18.5,3.0,5.0
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,sachinpkale,5,3.4,3.0,5.8,0.4,1.6
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,bowenlan-amzn,5,0.425,3.0,15.4,2.2,7.6
MEMBER,mgodwan,4,0.6875,2.25,4.0,1.25,1.0
MEMBER,linuxpi,4,1.75,3.75,9.25,1.75,3.0
CONTRIBUTOR,kkewwei,4,3.2083333333333335,4.0,12.25,3.0,4.75
MEMBER,Arpit-Bandejiya,4,0.125,1.25,1.75,0.25,0.75
MEMBER,shiv0408,4,1.625,2.0,5.0,0.75,2.5
MEMBER,msfroh,3,15.0,1.6666666666666667,4.333333333333333,0.0,0.6666666666666666
MEMBER,mch2,3,1.5416666666666667,4.0,6.666666666666667,0.0,1.6666666666666667
CONTRIBUTOR,atharvasharma61,3,7.125,3.0,9.333333333333334,0.6666666666666666,3.6666666666666665
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
MEMBER,jed326,3,1.0,2.6666666666666665,5.0,1.3333333333333333,0.6666666666666666
MEMBER,jainankitk,3,3.0,4.0,9.333333333333334,0.3333333333333333,3.3333333333333335
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,astute-decipher,3,11.333333333333334,3.0,11.0,1.3333333333333333,4.666666666666667
MEMBER,skumawat2025,3,5.0,3.3333333333333335,24.333333333333332,10.333333333333334,11.666666666666666
CONTRIBUTOR,srikanthpadakanti,2,10.5,3.5,19.5,1.0,8.5
MEMBER,gaiksaya,2,1.0,3.5,6.5,0.0,1.0
CONTRIBUTOR,rahulkarajgikar,2,1.5,3.5,8.5,0.5,3.5
MEMBER,deshsidd,2,1.0,2.5,5.0,0.0,2.5
MEMBER,dbwiddis,2,0.8125,1.5,3.5,0.5,2.0
MEMBER,BhumikaSaini-Amazon,2,30.0,2.5,18.0,7.0,10.5
CONTRIBUTOR,naomichi-y,2,6.0,3.0,14.0,0.5,5.5
MEMBER,chishui,2,6.0,4.5,19.5,0.5,6.5
MEMBER,backslasht,2,0.5,2.0,6.0,0.0,2.0
CONTRIBUTOR,aggarwalShivani,2,13.625,5.0,26.0,0.0,7.5
NONE,jzonthemtn,1,,5.0,13.0,3.0,4.0
NONE,llilyy,1,,6.0,22.0,2.0,4.0
MEMBER,shwetathareja,1,0.25,7.0,14.0,0.0,0.0
MEMBER,saimedhi,1,0.75,4.0,4.0,0.0,0.0
MEMBER,sandeshkr419,1,0.25,5.0,7.0,0.0,0.0
MEMBER,vikasvb90,1,1.0,3.0,10.0,2.0,6.0
MEMBER,varun-lodaya,1,0.875,2.0,2.0,0.0,0.0
MEMBER,rishabh6788,1,6.0,4.0,26.0,2.0,8.0
MEMBER,harshavamsi,1,0.125,3.0,3.0,0.0,0.0
MEMBER,qreshi,1,13.0,2.0,11.0,5.0,4.0
MEMBER,peterzhuamazon,1,1.0,6.0,12.0,0.0,1.0
CONTRIBUTOR,Ferrari248,1,17.0,4.0,28.0,10.0,9.0
CONTRIBUTOR,Pranshu-S,1,2.0,4.0,4.0,0.0,0.0
CONTRIBUTOR,Zhikai-VM,1,3.0,5.0,18.0,3.0,0.0
CONTRIBUTOR,niyatiagg,1,7.0,5.0,11.0,0.0,2.0
CONTRIBUTOR,samuel-oci,1,3.0,4.0,9.0,1.0,2.0
MEMBER,Gaganjuneja,1,0.25,2.0,3.0,0.0,0.0
MEMBER,ajaymovva,1,0.375,1.0,9.0,7.0,7.0
MEMBER,amkhar,1,0.125,3.0,4.0,0.0,0.0
MEMBER,anshu1106,1,,1.0,5.0,0.0,5.0
MEMBER,gashutos,1,,5.0,11.0,0.0,0.0
MEMBER,kaushalmahi12,1,,4.0,11.0,0.0,2.0
MEMBER,kkhatua,1,1.0,5.0,7.0,0.0,0.0
MEMBER,martin-gaievski,1,1.0,4.0,18.0,7.0,6.0
MEMBER,neetikasinghal,1,3.0,4.0,14.0,3.0,2.0
MEMBER,owaiskazi19,1,11.0,4.0,31.0,11.0,18.0
NONE,mwilso3,1,5.0,3.0,17.0,9.0,0.0
