type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],129,0.8908898305084746,1.7829457364341086,3.565891472868217,0.10077519379844961,0.7751937984496124
COLLABORATOR,reta,68,1.4692307692307693,2.5441176470588234,6.926470588235294,0.9117647058823529,2.0
AUTOMATION,dependabot[bot],35,1.9305555555555556,2.4285714285714284,8.028571428571428,1.0571428571428572,3.0
MEMBER,andrross,24,1.2880434782608696,2.7083333333333335,6.291666666666667,0.6666666666666666,1.625
MEMBER,sgup432,13,3.5576923076923075,2.769230769230769,7.230769230769231,0.15384615384615385,2.4615384615384617
MEMBER,peternied,12,1.0227272727272727,2.9166666666666665,6.0,0.16666666666666666,1.4166666666666667
MEMBER,gaobinlong,12,1.5909090909090908,3.25,8.166666666666666,0.0,2.0833333333333335
MEMBER,cwperks,12,1.3625,3.25,7.333333333333333,0.16666666666666666,1.3333333333333333
MEMBER,rishabhmaurya,10,5.107142857142857,3.3,10.0,3.0,5.4
MEMBER,ashking94,8,2.265625,2.75,10.75,2.375,3.0
MEMBER,sachinpkale,7,6.625,3.142857142857143,7.857142857142857,1.0,2.7142857142857144
MEMBER,kotwanikunal,7,0.9375,2.5714285714285716,5.571428571428571,0.42857142857142855,1.1428571428571428
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,ajaymovva,7,0.8125,1.7142857142857142,8.714285714285714,4.714285714285714,5.142857142857143
CONTRIBUTOR,kkewwei,6,1.95,3.8333333333333335,11.166666666666666,2.6666666666666665,3.8333333333333335
MEMBER,gbbafna,6,5.875,2.3333333333333335,7.5,1.0,3.1666666666666665
MEMBER,sandeshkr419,5,5.84375,3.2,8.8,0.6,2.6
MEMBER,amkhar,5,14.59375,3.2,12.6,1.2,5.6
MEMBER,jed326,5,3.2,3.2,15.2,8.0,6.8
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
CONTRIBUTOR,peteralfonsi,5,10.4,2.8,33.8,4.0,28.6
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,scrawfor99,4,2.5416666666666665,3.25,8.75,0.25,3.25
MEMBER,harishbhakuni,4,7.5,2.75,11.5,5.5,6.75
MEMBER,Rishikesh1159,4,20.5,3.0,9.5,0.0,4.25
MEMBER,bowenlan-amzn,4,0.53125,2.75,7.75,0.5,2.5
MEMBER,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,Gaganjuneja,3,0.7916666666666666,3.0,7.0,0.0,1.3333333333333333
MEMBER,Arpit-Bandejiya,3,9.5625,2.3333333333333335,17.333333333333332,3.6666666666666665,10.333333333333334
MEMBER,linuxpi,3,1.625,4.333333333333333,9.666666666666666,1.3333333333333333,3.0
MEMBER,ltaragi,3,12.875,2.0,14.0,6.666666666666667,8.333333333333334
MEMBER,jainankitk,2,6.5,3.0,11.5,0.0,3.5
MEMBER,harshavamsi,2,4.1875,2.5,6.0,1.0,2.0
MEMBER,mgodwan,2,3.0,4.0,15.0,4.0,4.0
MEMBER,kiranprakash154,2,2.5,3.0,31.5,10.0,25.0
MEMBER,mch2,2,3.0,3.0,5.0,0.0,0.5
MEMBER,msfroh,2,1.0,1.5,3.0,0.5,0.0
MEMBER,anshu1106,2,3.0,3.0,6.5,1.5,2.0
MEMBER,RS146BIJAY,2,1.4375,2.5,7.0,2.5,2.5
MEMBER,Poojita-Raj,2,2.5,2.5,4.0,0.0,0.0
MEMBER,skumawat2025,2,5.0,4.0,30.5,12.5,13.0
MEMBER,shourya035,2,12.0,2.5,13.0,1.5,7.5
CONTRIBUTOR,lukas-vlcek,2,6.5,3.5,6.5,1.0,1.5
MEMBER,shiv0408,2,0.25,1.5,3.5,0.0,1.0
MEMBER,backslasht,2,0.5,2.0,6.0,0.0,2.0
MEMBER,sohami,2,1.0,3.5,12.0,1.5,5.5
MEMBER,VachaShah,2,6.0,4.5,22.5,4.5,4.5
MEMBER,qreshi,2,19.0,3.5,17.0,7.0,8.5
MEMBER,ankitkala,2,3.0,3.0,10.5,1.5,4.0
CONTRIBUTOR,atharvasharma61,2,0.375,4.0,5.0,0.0,0.0
MEMBER,saimedhi,2,1.0,3.5,4.5,0.0,0.5
MEMBER,astute-decipher,2,12.5,2.5,10.0,1.0,4.5
MEMBER,vamsi-amazon,1,,1.0,2.0,0.0,1.0
MEMBER,vikasvb90,1,1.0,3.0,10.0,2.0,6.0
NONE,beanuwave,1,,1.0,2.0,0.0,1.0
MEMBER,rishabh6788,1,6.0,4.0,26.0,2.0,8.0
MEMBER,shwetathareja,1,0.25,7.0,14.0,0.0,0.0
NONE,Pranshu-S,1,,2.0,3.0,0.0,1.0
MEMBER,dbwiddis,1,1.0,4.0,12.0,0.0,6.0
MEMBER,neetikasinghal,1,3.0,4.0,14.0,3.0,2.0
MEMBER,khushbr,1,,2.0,5.0,0.0,3.0
CONTRIBUTOR,Ferrari248,1,17.0,4.0,28.0,10.0,9.0
CONTRIBUTOR,asonje,1,,5.0,10.0,0.0,2.0
CONTRIBUTOR,c3-amitsalunke,1,,1.0,2.0,0.0,1.0
CONTRIBUTOR,devagarwal1803,1,0.125,3.0,4.0,0.0,0.0
CONTRIBUTOR,frameflare,1,4.0,4.0,7.0,0.0,2.0
CONTRIBUTOR,gargharsh3134,1,,1.0,2.0,0.0,0.0
CONTRIBUTOR,guillaume-alvarez,1,1.0,5.0,7.0,0.0,0.0
CONTRIBUTOR,hasnain2808,1,0.0,4.0,62.0,7.0,43.0
CONTRIBUTOR,hogesako,1,22.0,5.0,18.0,3.0,4.0
CONTRIBUTOR,mkhludnev,1,0.0,4.0,9.0,1.0,2.0
CONTRIBUTOR,mulugetam,1,,4.0,5.0,0.0,1.0
CONTRIBUTOR,niyatiagg,1,7.0,5.0,11.0,0.0,2.0
MEMBER,Bukhtawar,1,1.0,3.0,4.0,0.0,0.0
MEMBER,ansjcy,1,,3.0,14.0,5.0,4.0
MEMBER,deshsidd,1,2.0,2.0,7.0,1.0,2.0
MEMBER,dzane17,1,0.125,1.0,2.0,0.0,0.0
MEMBER,kartg,1,1.0,5.0,9.0,1.0,1.0
NONE,ericsmalling,1,,1.0,2.0,0.0,1.0
