type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,170,1.0554635761589404,1.9470588235294117,4.517647058823529
COLLABORATOR,63,1.5333333333333334,2.5873015873015874,7.142857142857143
CONTRIBUTOR,27,3.68125,3.3703703703703702,11.407407407407407
MEMBER,237,3.244718309859155,2.9535864978902953,8.919831223628693
NONE,3,,1.3333333333333333,2.3333333333333335
