type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],133,0.8719262295081968,1.8120300751879699,3.5413533834586466,0.09022556390977443,0.7443609022556391
COLLABORATOR,reta,63,1.5333333333333334,2.5873015873015874,7.142857142857143,0.9206349206349206,2.0952380952380953
AUTOMATION,dependabot[bot],37,1.8275862068965518,2.4324324324324325,8.027027027027026,1.027027027027027,3.0
MEMBER,andrross,24,1.2880434782608696,2.7083333333333335,6.291666666666667,0.6666666666666666,1.625
MEMBER,gaobinlong,14,1.3846153846153846,3.2142857142857144,7.571428571428571,0.0,1.7857142857142858
MEMBER,cwperks,12,1.3625,3.25,7.333333333333333,0.16666666666666666,1.3333333333333333
MEMBER,kotwanikunal,10,0.4166666666666667,2.2,4.2,0.5,1.0
MEMBER,sgup432,10,1.425,2.8,7.0,0.2,2.1
MEMBER,peternied,8,1.140625,3.125,6.625,0.25,1.5
MEMBER,jed326,8,2.125,3.25,12.5,5.375,4.75
MEMBER,ashking94,8,2.265625,2.75,10.75,2.375,3.0
MEMBER,rajiv-kv,7,9.071428571428571,3.142857142857143,15.571428571428571,4.714285714285714,7.857142857142857
MEMBER,sachinpkale,7,6.625,3.142857142857143,7.857142857142857,1.0,2.7142857142857144
MEMBER,rishabhmaurya,7,3.75,3.0,8.142857142857142,2.4285714285714284,4.0
MEMBER,ajaymovva,7,0.8125,1.7142857142857142,8.714285714285714,4.714285714285714,5.142857142857143
MEMBER,gbbafna,6,5.875,2.3333333333333335,7.5,1.0,3.1666666666666665
CONTRIBUTOR,kkewwei,6,1.95,3.8333333333333335,11.166666666666666,2.6666666666666665,3.8333333333333335
MEMBER,sandeshkr419,5,5.84375,3.0,8.6,0.6,2.6
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,mgodwan,4,2.2083333333333335,3.25,11.0,3.0,3.5
MEMBER,ansjcy,4,0.4583333333333333,2.5,6.5,1.5,1.25
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
CONTRIBUTOR,peteralfonsi,4,3.5,2.75,19.75,0.75,14.5
MEMBER,scrawfor99,4,2.5416666666666665,3.25,8.75,0.25,3.25
MEMBER,Rishikesh1159,4,20.5,3.0,9.5,0.0,4.25
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,linuxpi,3,1.625,4.333333333333333,9.666666666666666,1.3333333333333333,3.0
MEMBER,Arpit-Bandejiya,3,9.5625,2.3333333333333335,17.333333333333332,3.6666666666666665,10.333333333333334
MEMBER,mch2,3,3.0,3.0,4.666666666666667,0.0,0.3333333333333333
MEMBER,bowenlan-amzn,3,0.7083333333333334,2.6666666666666665,4.666666666666667,0.0,0.6666666666666666
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
