type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,180,0.6226114649681529,1.4666666666666666,2.9055555555555554
COLLABORATOR,48,1.827127659574468,2.3125,6.229166666666667
CONTRIBUTOR,34,4.053571428571429,3.2058823529411766,10.676470588235293
MEMBER,234,3.6540841584158414,2.675213675213675,8.38034188034188
NONE,4,,3.0,5.0
