type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],133,0.6014344262295082,1.4887218045112782,3.0225563909774436,0.07518796992481203,0.6917293233082706
COLLABORATOR,reta,52,0.5127551020408163,2.423076923076923,6.019230769230769,0.7307692307692307,1.7115384615384615
AUTOMATION,dependabot[bot],30,1.83,2.3,7.933333333333334,1.0666666666666667,2.966666666666667
MEMBER,ashking94,19,2.1527777777777777,2.789473684210526,9.421052631578947,1.9473684210526316,2.6842105263157894
MEMBER,cwperks,18,1.125,3.388888888888889,7.444444444444445,0.1111111111111111,1.6111111111111112
MEMBER,sgup432,15,3.216666666666667,2.8666666666666667,7.466666666666667,0.13333333333333333,2.466666666666667
MEMBER,gaobinlong,13,4.538461538461538,3.6923076923076925,9.615384615384615,0.0,2.076923076923077
MEMBER,peternied,12,2.522727272727273,3.0,5.166666666666667,0.08333333333333333,0.8333333333333334
MEMBER,rishabhmaurya,10,4.71875,3.4,10.3,3.0,5.4
MEMBER,kotwanikunal,9,0.953125,2.5555555555555554,5.111111111111111,0.5555555555555556,1.0
MEMBER,ltaragi,9,7.291666666666667,2.5555555555555554,8.11111111111111,3.6666666666666665,3.0
MEMBER,sachinpkale,8,6.28125,3.0,7.625,1.125,2.625
MEMBER,gbbafna,7,2.75,2.142857142857143,4.571428571428571,0.8571428571428571,1.0
MEMBER,shourya035,7,8.09375,2.142857142857143,7.428571428571429,1.2857142857142858,4.0
CONTRIBUTOR,peteralfonsi,7,10.428571428571429,3.142857142857143,28.857142857142858,3.5714285714285716,22.571428571428573
MEMBER,rajiv-kv,6,0.3958333333333333,2.5,5.333333333333333,0.5,1.6666666666666667
MEMBER,ajaymovva,6,0.8125,1.8333333333333333,9.833333333333334,5.5,5.833333333333333
MEMBER,kiranprakash154,6,14.0,3.3333333333333335,29.5,4.0,19.0
MEMBER,andrross,6,2.2291666666666665,3.0,9.333333333333334,1.3333333333333333,2.5
CONTRIBUTOR,kkewwei,6,1.95,3.8333333333333335,11.166666666666666,2.6666666666666665,3.8333333333333335
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,sandeshkr419,5,5.84375,3.2,8.8,0.6,2.6
MEMBER,jed326,5,3.2,3.2,15.2,8.0,6.8
MEMBER,mgodwan,5,1.55,3.0,7.6,1.6,1.6
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,msfroh,4,11.5,1.75,4.25,0.25,0.5
MEMBER,mch2,4,1.90625,3.25,5.5,0.0,1.25
MEMBER,VachaShah,4,5.5625,4.25,20.5,3.0,4.75
MEMBER,Gaganjuneja,3,0.7916666666666666,3.0,7.0,0.0,1.3333333333333333
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
MEMBER,saimedhi,3,0.875,3.6666666666666665,4.333333333333333,0.0,0.3333333333333333
