type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],118,1.3950892857142858,2.169491525423729,3.8813559322033897,0.15254237288135594,0.6864406779661016
COLLABORATOR,reta,56,0.53125,2.5357142857142856,5.660714285714286,0.75,1.3035714285714286
AUTOMATION,dependabot[bot],32,0.5192307692307693,2.65625,7.15625,0.625,2.21875
MEMBER,andrross,24,0.8522727272727273,2.5416666666666665,5.0,0.4166666666666667,1.1666666666666667
MEMBER,gaobinlong,12,2.78125,3.0,6.5,0.08333333333333333,1.0
MEMBER,ajaymovva,11,2.1,1.8181818181818181,9.363636363636363,5.181818181818182,6.090909090909091
MEMBER,kotwanikunal,10,0.975,2.3,4.5,0.8,1.0
MEMBER,sgup432,8,5.857142857142857,2.75,7.0,0.125,2.25
MEMBER,jed326,8,1.0,4.0,9.625,1.625,1.625
MEMBER,peternied,5,7.0,4.0,17.0,0.4,7.4
MEMBER,dzane17,5,11.78125,3.6,19.4,11.0,9.6
MEMBER,bowenlan-amzn,5,2.78125,2.8,8.0,0.4,2.6
MEMBER,sachinpkale,5,7.475,2.8,6.6,0.6,2.4
MEMBER,ansjcy,4,5.34375,2.5,10.25,5.5,4.0
MEMBER,gbbafna,4,9.041666666666666,2.5,5.75,1.5,1.75
CONTRIBUTOR,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,Poojita-Raj,4,2.0,3.0,6.0,0.5,1.25
MEMBER,harishbhakuni,4,7.59375,3.0,12.5,5.5,7.25
MEMBER,linuxpi,3,5.25,3.0,8.0,0.3333333333333333,2.6666666666666665
MEMBER,sandeshkr419,3,0.5625,2.3333333333333335,4.333333333333333,0.0,0.6666666666666666
CONTRIBUTOR,atharvasharma61,3,4.916666666666667,4.333333333333333,12.666666666666666,0.3333333333333333,4.333333333333333
MEMBER,RS146BIJAY,3,1.4375,2.0,5.333333333333333,1.6666666666666667,2.0
MEMBER,Rishikesh1159,3,13.666666666666666,3.0,9.333333333333334,0.0,4.0
MEMBER,sohami,2,1.0,3.5,12.0,1.5,5.5
MEMBER,scrawfor99,2,0.3125,3.0,6.0,0.5,2.0
MEMBER,harshavamsi,2,4.1875,2.5,6.0,1.0,2.0
MEMBER,saratvemulapalli,2,0.5625,3.0,5.0,0.0,0.5
MEMBER,jainankitk,2,6.5,3.0,11.5,0.0,3.5
MEMBER,mch2,2,13.5,3.0,13.0,1.0,3.5
MEMBER,mgodwan,2,0.625,2.5,7.0,2.0,3.0
MEMBER,neetikasinghal,2,0.625,3.0,5.5,1.0,1.5
MEMBER,dblock,2,0.5625,1.5,4.5,0.5,1.5
MEMBER,deshsidd,2,1.5,3.0,7.0,1.0,1.5
CONTRIBUTOR,kkewwei,2,0.0625,3.0,13.0,4.0,5.0
MEMBER,amkhar,2,8.625,4.0,11.5,0.0,3.5
CONTRIBUTOR,austintlee,2,9.0,2.5,5.5,1.0,1.5
CONTRIBUTOR,guillaume-alvarez,2,4.0,4.5,16.5,4.5,5.0
CONTRIBUTOR,lukas-vlcek,2,6.5,3.5,6.5,1.0,1.5
NONE,yallen-ic,2,1.0,4.0,9.0,1.5,0.5
MEMBER,ankitkala,2,3.0,3.0,10.5,1.5,4.0
MEMBER,ashking94,2,7.0,3.0,7.5,1.0,1.5
MEMBER,anshu1106,2,3.0,3.0,6.5,1.5,2.0
MEMBER,rishabhmaurya,1,,3.0,4.0,0.0,1.0
NONE,ericsmalling,1,,1.0,2.0,0.0,1.0
NONE,beanuwave,1,,1.0,2.0,0.0,1.0
NONE,Pranshu-S,1,,2.0,3.0,0.0,1.0
MEMBER,vamsi-amazon,1,,1.0,2.0,0.0,1.0
CONTRIBUTOR,Dharin-shah,1,,1.0,2.0,0.0,1.0
MEMBER,shiv0408,1,,2.0,3.0,0.0,1.0
CONTRIBUTOR,c3-amitsalunke,1,,1.0,2.0,0.0,1.0
MEMBER,sarthakaggarwal97,1,0.0,4.0,6.0,1.0,1.0
CONTRIBUTOR,devagarwal1803,1,0.125,3.0,4.0,0.0,0.0
CONTRIBUTOR,drunken-monkey,1,0.0,3.0,4.0,0.0,0.0
MEMBER,saimedhi,1,,3.0,4.0,0.0,1.0
MEMBER,dreamer-89,1,0.125,2.0,3.0,0.0,0.0
CONTRIBUTOR,hogesako,1,22.0,5.0,18.0,3.0,4.0
MEMBER,VachaShah,1,,3.0,4.0,0.0,0.0
MEMBER,owaiskazi19,1,3.0,3.0,9.0,1.0,4.0
MEMBER,noCharger,1,19.0,4.0,10.0,3.0,2.0
MEMBER,dbwiddis,1,1.0,4.0,12.0,0.0,6.0
MEMBER,msfroh,1,1.0,2.0,4.0,1.0,0.0
CONTRIBUTOR,mkhludnev,1,0.0,4.0,9.0,1.0,2.0
MEMBER,BhumikaSaini-Amazon,1,0.875,2.0,4.0,0.0,1.0
MEMBER,Bukhtawar,1,1.0,3.0,4.0,0.0,0.0
MEMBER,khushbr,1,,2.0,5.0,0.0,3.0
MEMBER,kartg,1,1.0,5.0,9.0,1.0,1.0
MEMBER,CEHENKLE,1,5.0,5.0,10.0,1.0,3.0
MEMBER,CaptainDredge,1,0.625,3.0,6.0,1.0,1.0
MEMBER,Gaganjuneja,1,7.0,4.0,20.0,2.0,11.0
MEMBER,bharath-techie,1,,1.0,2.0,0.0,0.0
