type_of_contribution,created_at,number,business_days_to_merge,number_of_commenters,gradle_check_failures
AUTOMATION,2024-05-05,9,3.375,11,1
AUTOMATION,2024-05-12,13,3.75,21,26
AUTOMATION,2024-05-19,19,12.0,31,21
AUTOMATION,2024-05-26,16,8.375,36,39
AUTOMATION,2024-06-02,15,6.125,21,19
AUTOMATION,2024-06-09,32,19.5,51,32
AUTOMATION,2024-06-16,41,27.875,53,26
AUTOMATION,2024-06-23,34,14.75,38,29
COLLABORATOR,2024-05-05,4,2.375,13,7
COLLABORATOR,2024-05-12,3,35.375,7,10
COLLABORATOR,2024-05-19,3,0.75,8,2
COLLABORATOR,2024-05-26,6,23.5,15,36
COLLABORATOR,2024-06-02,3,7.625,7,4
COLLABORATOR,2024-06-09,8,8.25,23,11
COLLABORATOR,2024-06-16,14,5.625,25,18
COLLABORATOR,2024-06-23,7,2.375,13,8
CONTRIBUTOR,2024-05-05,1,1.0,2,0
CONTRIBUTOR,2024-05-12,1,7.0,5,12
CONTRIBUTOR,2024-05-19,0,0.0,0,0
CONTRIBUTOR,2024-05-26,4,48.0,18,41
CONTRIBUTOR,2024-06-02,3,13.0,10,26
CONTRIBUTOR,2024-06-09,8,15.625,27,28
CONTRIBUTOR,2024-06-16,11,21.25,31,34
CONTRIBUTOR,2024-06-23,7,7.625,17,25
MEMBER,2024-05-05,11,69.375,26,28
MEMBER,2024-05-12,22,168.0,69,115
MEMBER,2024-05-19,25,207.0,87,170
MEMBER,2024-05-26,27,85.5,82,112
MEMBER,2024-06-02,28,93.25,75,182
MEMBER,2024-06-09,49,66.125,131,202
MEMBER,2024-06-16,54,33.875,118,96
MEMBER,2024-06-23,18,15.0,40,30
NONE,2024-05-05,1,0.0,5,4
NONE,2024-05-12,1,0.0,1,1
NONE,2024-05-19,1,0.0,3,1
NONE,2024-05-26,0,0.0,0,0
NONE,2024-06-02,0,0.0,0,0
NONE,2024-06-09,0,0.0,0,0
NONE,2024-06-16,0,0.0,0,0
NONE,2024-06-23,1,0.0,3,1
