type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,156,0.8265845070422535,1.5384615384615385,3.8525641025641026
COLLABORATOR,60,0.47767857142857145,2.466666666666667,5.766666666666667
CONTRIBUTOR,33,5.823275862068965,3.3636363636363638,13.878787878787879
MEMBER,250,3.853139013452915,3.06,9.636
NONE,1,,6.0,22.0
