type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],147,1.35625,2.054421768707483,3.7142857142857144,0.12244897959183673,0.6598639455782312
COLLABORATOR,reta,63,0.6270491803278688,2.5873015873015874,6.9523809523809526,0.9682539682539683,2.0317460317460316
AUTOMATION,dependabot[bot],36,0.48660714285714285,2.5833333333333335,6.861111111111111,0.6666666666666666,2.138888888888889
MEMBER,andrross,26,0.8645833333333334,2.5,4.961538461538462,0.38461538461538464,1.1923076923076923
MEMBER,gaobinlong,15,2.6083333333333334,3.1333333333333333,6.733333333333333,0.06666666666666667,1.1333333333333333
MEMBER,ajaymovva,14,1.359375,1.8571428571428572,10.785714285714286,6.357142857142857,6.928571428571429
MEMBER,sgup432,13,7.6875,2.923076923076923,9.23076923076923,0.3076923076923077,4.384615384615385
MEMBER,kotwanikunal,10,0.975,2.3,4.5,0.8,1.0
MEMBER,jed326,8,1.0,4.0,9.625,1.75,1.625
MEMBER,mch2,7,4.625,2.5714285714285716,7.0,0.42857142857142855,1.7142857142857142
MEMBER,ansjcy,6,8.275,3.0,16.5,9.5,7.166666666666667
MEMBER,Rishikesh1159,5,13.6,3.2,12.0,0.0,5.2
MEMBER,dzane17,5,11.78125,3.6,19.4,11.0,9.6
CONTRIBUTOR,peteralfonsi,5,3.5,2.6,17.0,1.2,12.0
MEMBER,linuxpi,5,7.35,3.6,9.6,0.4,3.0
MEMBER,peternied,5,7.0,4.0,17.0,0.4,7.4
MEMBER,sachinpkale,5,7.475,2.8,6.6,0.6,2.4
MEMBER,harishbhakuni,5,6.075,2.8,10.6,4.4,5.8
MEMBER,bowenlan-amzn,5,2.78125,2.8,8.0,0.4,2.6
MEMBER,gbbafna,5,6.8125,2.4,5.2,1.2,1.4
MEMBER,ashking94,5,4.8,3.0,9.0,1.2,1.8
CONTRIBUTOR,abseth-amzn,4,2.5,4.25,8.25,0.25,1.75
MEMBER,amkhar,4,5.791666666666667,3.25,9.25,0.0,3.5
MEMBER,dblock,4,2.375,3.0,12.5,2.5,3.75
MEMBER,Gaganjuneja,4,2.34375,3.25,10.25,0.5,3.75
MEMBER,Poojita-Raj,4,2.0,3.0,6.0,0.5,1.25
MEMBER,mgodwan,4,2.2083333333333335,3.25,10.5,3.0,3.5
CONTRIBUTOR,lukas-vlcek,4,3.28125,3.25,6.0,1.0,1.25
MEMBER,RS146BIJAY,3,1.4375,2.0,5.333333333333333,1.6666666666666667,2.0
MEMBER,shiv0408,3,0.25,1.6666666666666667,3.3333333333333335,0.0,1.0
MEMBER,kiranprakash154,3,2.5,2.3333333333333335,21.666666666666668,6.666666666666667,17.0
MEMBER,neetikasinghal,3,0.4583333333333333,3.6666666666666665,6.333333333333333,0.6666666666666666,1.3333333333333333
MEMBER,sandeshkr419,3,0.5625,2.3333333333333335,4.333333333333333,0.0,0.6666666666666666
CONTRIBUTOR,atharvasharma61,3,4.916666666666667,4.333333333333333,12.666666666666666,0.3333333333333333,4.333333333333333
MEMBER,msfroh,2,1.0,2.0,4.5,1.0,1.0
MEMBER,jainankitk,2,6.5,3.0,11.5,0.0,3.5
MEMBER,harshavamsi,2,4.1875,2.5,6.0,1.0,2.0
MEMBER,saimedhi,2,1.0,3.5,4.5,0.0,0.5
MEMBER,saratvemulapalli,2,0.5625,3.0,5.0,0.0,0.5
MEMBER,scrawfor99,2,0.3125,3.0,6.0,0.5,2.0
MEMBER,sohami,2,1.0,3.5,12.0,1.5,5.5
MEMBER,deshsidd,2,1.5,3.0,7.0,1.0,1.5
MEMBER,dreamer-89,2,9.0625,3.0,6.5,0.5,1.0
MEMBER,ankitkala,2,3.0,3.0,10.5,1.5,4.0
CONTRIBUTOR,austintlee,2,9.0,2.5,5.5,1.0,1.5
CONTRIBUTOR,guillaume-alvarez,2,4.0,4.5,16.5,4.5,5.0
CONTRIBUTOR,kkewwei,2,0.0625,3.0,13.0,4.0,5.0
NONE,yallen-ic,2,1.0,4.0,9.0,1.5,0.5
MEMBER,anshu1106,2,3.0,3.0,6.5,1.5,2.0
CONTRIBUTOR,hogesako,1,22.0,5.0,18.0,3.0,4.0
NONE,ericsmalling,1,,1.0,2.0,0.0,1.0
NONE,beanuwave,1,,1.0,2.0,0.0,1.0
NONE,Pranshu-S,1,,2.0,3.0,0.0,1.0
MEMBER,vamsi-amazon,1,,1.0,2.0,0.0,1.0
MEMBER,soosinha,1,67.0,6.0,17.0,6.0,4.0
CONTRIBUTOR,Dharin-shah,1,,1.0,2.0,0.0,1.0
MEMBER,bharath-techie,1,,1.0,2.0,0.0,0.0
CONTRIBUTOR,c3-amitsalunke,1,,1.0,2.0,0.0,1.0
CONTRIBUTOR,devagarwal1803,1,0.125,3.0,4.0,0.0,0.0
MEMBER,sarthakaggarwal97,1,0.0,4.0,6.0,1.0,1.0
CONTRIBUTOR,drunken-monkey,1,0.0,3.0,4.0,0.0,0.0
CONTRIBUTOR,gargharsh3134,1,,1.0,2.0,0.0,0.0
MEMBER,VachaShah,1,,3.0,4.0,0.0,0.0
MEMBER,kartg,1,1.0,5.0,9.0,1.0,1.0
MEMBER,rishabhmaurya,1,,3.0,4.0,0.0,1.0
MEMBER,dbwiddis,1,1.0,4.0,12.0,0.0,6.0
MEMBER,owaiskazi19,1,3.0,3.0,9.0,1.0,4.0
MEMBER,noCharger,1,19.0,4.0,10.0,3.0,2.0
CONTRIBUTOR,mkhludnev,1,0.0,4.0,9.0,1.0,2.0
CONTRIBUTOR,mulugetam,1,,4.0,5.0,0.0,1.0
MEMBER,Arpit-Bandejiya,1,,1.0,4.0,0.0,3.0
