type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
AUTOMATION,opensearch-trigger-bot[bot],130,0.5854166666666667,1.4538461538461538,3.0076923076923077,0.07692307692307693,0.7230769230769231
COLLABORATOR,reta,53,0.5025,2.3962264150943398,5.9245283018867925,0.7169811320754716,1.679245283018868
AUTOMATION,dependabot[bot],31,1.765,2.096774193548387,7.516129032258065,1.032258064516129,2.903225806451613
MEMBER,ashking94,21,2.1375,2.761904761904762,9.19047619047619,1.9047619047619047,2.7142857142857144
MEMBER,cwperks,18,1.125,3.388888888888889,7.444444444444445,0.1111111111111111,1.6111111111111112
MEMBER,sgup432,13,3.25,2.923076923076923,7.461538461538462,0.15384615384615385,2.3846153846153846
MEMBER,gaobinlong,13,4.538461538461538,3.6923076923076925,9.615384615384615,0.0,2.076923076923077
MEMBER,peternied,12,2.522727272727273,3.0,5.166666666666667,0.08333333333333333,0.8333333333333334
MEMBER,rishabhmaurya,10,4.71875,3.4,10.3,3.0,5.4
MEMBER,ltaragi,9,7.291666666666667,2.5555555555555554,8.11111111111111,3.6666666666666665,3.0
CONTRIBUTOR,peteralfonsi,8,6.0,3.0,18.125,1.875,11.375
MEMBER,sachinpkale,8,6.28125,3.0,7.625,1.125,2.625
MEMBER,gbbafna,8,5.03125,2.125,5.75,1.375,2.0
MEMBER,kiranprakash154,7,11.8,3.2857142857142856,27.0,3.4285714285714284,16.857142857142858
MEMBER,shourya035,7,8.09375,2.142857142857143,7.428571428571429,1.2857142857142858,4.0
MEMBER,andrross,6,2.2291666666666665,3.0,9.333333333333334,1.3333333333333333,2.5
CONTRIBUTOR,kkewwei,6,1.95,3.8333333333333335,11.166666666666666,2.6666666666666665,3.8333333333333335
MEMBER,kotwanikunal,6,1.425,2.8333333333333335,6.166666666666667,0.8333333333333334,1.3333333333333333
MEMBER,ajaymovva,6,0.8125,1.8333333333333333,9.833333333333334,5.5,5.833333333333333
MEMBER,rajiv-kv,6,0.3958333333333333,2.5,5.333333333333333,0.5,1.6666666666666667
MEMBER,sandeshkr419,5,5.84375,3.2,8.8,0.6,2.6
MEMBER,ruai0511,5,2.8333333333333335,2.4,8.6,1.4,4.6
MEMBER,mgodwan,5,1.55,3.0,7.6,1.6,1.6
MEMBER,dblock,5,1.0625,4.0,11.6,0.8,3.2
MEMBER,mch2,4,1.90625,3.25,5.5,0.0,1.25
MEMBER,VachaShah,4,5.5625,4.25,20.5,3.0,4.75
MEMBER,jed326,4,3.75,3.0,17.25,9.75,8.25
MEMBER,msfroh,4,11.5,1.75,4.25,0.25,0.5
MEMBER,saimedhi,3,0.875,3.6666666666666665,4.333333333333333,0.0,0.3333333333333333
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
MEMBER,linuxpi,3,1.625,4.333333333333333,9.666666666666666,1.3333333333333333,3.0
MEMBER,shiv0408,3,0.16666666666666666,2.0,4.333333333333333,0.0,1.6666666666666667
MEMBER,skumawat2025,3,5.0,3.3333333333333335,24.333333333333332,10.333333333333334,11.666666666666666
MEMBER,zelinh,3,2.0,3.6666666666666665,10.0,1.3333333333333333,4.0
CONTRIBUTOR,atharvasharma61,3,7.125,3.0,9.333333333333334,0.6666666666666666,3.6666666666666665
MEMBER,jainankitk,3,2.0,3.0,7.0,0.3333333333333333,2.6666666666666665
MEMBER,amkhar,3,0.1875,3.0,6.666666666666667,0.0,2.3333333333333335
MEMBER,Arpit-Bandejiya,3,9.5625,2.3333333333333335,17.333333333333332,3.6666666666666665,10.333333333333334
MEMBER,Gaganjuneja,3,0.7916666666666666,3.0,7.0,0.0,1.3333333333333333
MEMBER,astute-decipher,3,16.333333333333332,3.3333333333333335,14.0,1.3333333333333333,6.666666666666667
MEMBER,CaptainDredge,3,1.0,4.333333333333333,12.0,4.0,3.0
MEMBER,deshsidd,3,1.5,2.3333333333333335,5.666666666666667,0.3333333333333333,2.3333333333333335
CONTRIBUTOR,aggarwalShivani,2,13.625,5.0,26.0,0.0,7.5
MEMBER,abseth-amzn,2,6.0,4.5,8.5,0.0,1.0
MEMBER,qreshi,2,19.0,3.5,17.0,7.0,8.5
MEMBER,harishbhakuni,2,0.5,2.5,6.5,1.0,2.0
CONTRIBUTOR,srikanthpadakanti,2,10.5,3.0,18.0,1.0,8.5
MEMBER,ankitkala,2,3.0,3.0,10.5,1.5,4.0
