type_of_contribution,number,business_days_to_merge,number_of_commenters,number_of_comments
AUTOMATION,173,1.2305194805194806,1.9942196531791907,4.543352601156069
COLLABORATOR,63,1.5354166666666667,2.6031746031746033,7.158730158730159
CONTRIBUTOR,26,3.789473684210526,3.3846153846153846,12.653846153846153
MEMBER,235,2.9477163461538463,2.927659574468085,8.493617021276595
NONE,3,,1.3333333333333333,2.3333333333333335
